CO_ID,Date,Open(NTD),High(NTD),Low(NTD),Close(NTD),Volume(1000S),Amount(NTD1000),AVG CLOSE,AVG CLOSE 5D,AVG CLOSE 10D,AVG CLOSE 20D,AVG Vol 5D,AVG Vol 10D,AVG Vol 20D,ROI%,Shares(1000S),Market Cap.(NTD MN),P/E-TEJ,P/B-TEJ,Dividend_Yield%,Cash_Dividend%,Price_Change(NTD),High minus Low %,Market,Capital,No.of Employee
0050 Yuanta Taiwan Top50,2015/1/5,66.4,66.75,66,66.55,"6,295","417,637",66.3379,66.81,66.49,65.77,"7,438.29","8,256.60","9,385.22",-0.4488,"1,135,500","75,567",,,,2.33,-0.3,1.1219,TSE,,
0050 Yuanta Taiwan Top50,2015/1/6,65.75,65.75,64.75,64.9,"19,501","1,272,547",65.2527,66.47,66.38,65.6975,"10,580.32","9,462.39","9,978.66",-2.4793,"1,135,500","73,693",,,,2.39,-1.65,1.5026,TSE,,
0050 Yuanta Taiwan Top50,2015/1/7,64.7,65.25,64.7,65,"6,991","454,539",65.0127,66.03,66.3,65.6375,"9,758.35","9,637.34","10,097.20",0.1541,"1,134,500","73,742",,,,2.38,0.1,0.8475,TSE,,
0050 Yuanta Taiwan Top50,2015/1/8,65.5,66.6,65.5,66.5,"13,153","871,151",66.2295,65.96,66.32,65.6975,"10,672.28","10,256.95","10,112.28",2.3077,"1,134,500","75,444",,,,2.33,1.5,1.6923,TSE,,
0050 Yuanta Taiwan Top50,2015/1/9,66.9,66.95,66.05,66.15,"5,891","391,342",66.4195,65.82,66.305,65.7425,"10,366.90","10,404.37","10,060.87",-0.5263,"1,134,500","75,047",,,,2.34,-0.35,1.3534,TSE,,
0050 Yuanta Taiwan Top50,2015/1/12,65.8,66.15,65.65,65.75,"9,060","596,821",65.872,65.66,66.235,65.765,"10,919.84","9,179.07","10,290.01",-0.6047,"1,134,500","74,593",,,,2.36,-0.4,0.7559,TSE,,
0050 Yuanta Taiwan Top50,2015/1/13,65.6,66.4,65.4,65.95,"6,151","406,400",66.0638,65.87,66.17,65.8075,"8,249.80","9,415.06","10,069.47",0.3042,"1,134,500","74,820",,,,2.35,0.2,1.5209,TSE,,
0050 Yuanta Taiwan Top50,2015/1/14,66,66.05,65.4,65.6,"7,205","473,109",65.6619,65.99,66.01,65.86,"8,292.54","9,025.45","9,794.18",-0.5307,"1,129,000","74,062",,,,2.36,-0.35,0.9856,TSE,,
0050 Yuanta Taiwan Top50,2015/1/15,65.65,65.95,65.35,65.8,"3,525","231,506",65.6656,65.85,65.905,65.9725,"6,366.94","8,519.61","8,991.69",0.3049,"1,129,000","74,288",,,,2.36,0.2,0.9146,TSE,,
0050 Yuanta Taiwan Top50,2015/1/16,66.25,66.4,65.35,65.5,"9,317","613,484",65.8411,65.72,65.77,66.0625,"7,052.08","8,709.49","9,027.90",-0.4559,"1,129,000","73,949",,,,2.37,-0.3,1.5957,TSE,,
0050 Yuanta Taiwan Top50,2015/1/19,66.3,66.75,66.05,66.25,"17,591","1,166,409",66.3059,65.82,65.74,66.115,"8,758.28","9,839.06","9,047.83",1.145,"1,129,000","74,796",,,,2.34,0.75,1.0687,TSE,,
0050 Yuanta Taiwan Top50,2015/1/20,66.5,66.9,66.35,66.75,"10,097","673,782",66.7262,65.98,65.925,66.1525,"9,547.50","8,898.65","9,180.52",0.7547,"1,125,000","75,093",,,,2.32,0.5,0.8302,TSE,,
0050 Yuanta Taiwan Top50,2015/1/21,67.2,67.3,67,67.25,"17,556","1,179,808",67.2021,66.31,66.15,66.225,"11,617.68","9,955.11","9,796.23",0.7491,"1,125,000","75,656",,,,2.3,0.5,0.4494,TSE,,
0050 Yuanta Taiwan Top50,2015/1/22,67.5,67.9,67.45,67.6,"16,125","1,090,773",67.6447,66.67,66.26,66.29,"14,137.57","10,252.26","10,254.61",0.5204,"1,125,000","76,050",,,,2.29,0.35,0.6691,TSE,,
0050 Yuanta Taiwan Top50,2015/1/23,68.25,68.7,68.25,68.7,"35,859","2,457,940",68.5433,67.31,66.515,66.41,"19,445.98","13,249.03","11,826.70",1.6272,"1,115,000","76,600",,,,2.26,1.1,0.6657,TSE,,
0050 Yuanta Taiwan Top50,2015/1/26,68.55,68.85,68.45,68.7,"20,460","1,404,630",68.6514,67.8,66.81,66.5225,"20,019.78","14,389.03","11,784.05",0,"1,105,000","75,913",,,,2.26,0,0.5822,TSE,,
0050 Yuanta Taiwan Top50,2015/1/27,69,69.25,68.8,69.15,"36,217","2,499,213",69.006,68.28,67.13,66.65,"25,243.70","17,395.60","13,405.33",0.655,"1,105,000","76,410",,,,2.24,0.45,0.655,TSE,,
0050 Yuanta Taiwan Top50,2015/1/28,68.8,69.2,68.8,69.15,"35,993","2,485,686",69.0591,68.66,67.485,66.7475,"28,931.20","20,274.44","14,649.94",0,"1,105,000","76,410",,,,2.24,0,0.5785,TSE,,
0050 Yuanta Taiwan Top50,2015/1/29,69.05,69.05,68.15,68.3,"19,790","1,353,476",68.3904,68.8,67.735,66.82,"29,664.29","21,900.93","15,210.27",-1.2292,"1,103,500","75,369",,,,2.27,-0.85,1.3015,TSE,,
0050 Yuanta Taiwan Top50,2015/1/30,68.6,68.6,68,68,"4,264","290,995",68.2372,68.66,67.985,66.8775,"23,345.25","21,395.61","15,052.55",-0.4392,"1,083,000","73,644",,,,2.28,-0.3,0.8785,TSE,,
0050 Yuanta Taiwan Top50,2015/2/2,68.2,68.35,67.9,68.15,"5,810","395,850",68.1213,68.55,68.175,66.9575,"20,415.37","20,217.58","15,028.32",0.2206,"1,083,000","73,806",,,,2.27,0.15,0.6618,TSE,,
0050 Yuanta Taiwan Top50,2015/2/3,68.35,68.85,68.1,68.65,"16,645","1,142,793",68.6547,68.45,68.365,67.145,"16,501.01","20,872.35","14,885.50",0.7337,"1,083,000","74,347",,,,2.26,0.5,1.1005,TSE,,
0050 Yuanta Taiwan Top50,2015/2/4,69.2,69.5,69.05,69.4,"20,357","1,411,607",69.3403,68.5,68.58,67.365,"13,373.82","21,152.51","15,553.81",1.0925,"1,072,500","74,431",,,,2.23,0.75,0.6555,TSE,,
0050 Yuanta Taiwan Top50,2015/2/5,69.05,69.25,68.8,69.1,"4,783","329,874",68.96,68.66,68.73,67.495,"10,372.44","20,018.36","15,135.31",-0.4323,"1,072,500","74,109",,,,2.24,-0.3,0.6484,TSE,,
0050 Yuanta Taiwan Top50,2015/2/6,69.1,69.2,68.65,68.75,"4,107","282,693",68.817,68.81,68.735,67.625,"10,341.12","16,843.19","15,046.11",-0.5065,"1,072,500","73,734",,,,2.25,-0.35,0.7959,TSE,,
0050 Yuanta Taiwan Top50,2015/2/9,68.75,68.75,68.25,68.5,"3,512","240,429",68.4542,68.88,68.715,67.7625,"9,881.39","15,148.38","14,768.70",-0.3636,"1,072,500","73,466",,,,2.26,-0.25,0.7273,TSE,,
0050 Yuanta Taiwan Top50,2015/2/10,68.45,68.5,68.2,68.25,"8,023","547,920",68.293,68.8,68.625,67.8775,"8,156.90","12,328.95","14,862.28",-0.365,"1,072,500","73,198",,,,2.27,-0.25,0.438,TSE,,
0050 Yuanta Taiwan Top50,2015/2/11,68.7,69.25,68.7,69,"7,199","496,602",68.9783,68.72,68.61,68.0475,"5,525.25","9,449.53","14,861.99",1.0989,"1,072,500","74,002",,,,2.25,0.75,0.8059,TSE,,
0050 Yuanta Taiwan Top50,2015/2/12,69,69.2,68.8,69,"9,310","642,508",69.0099,68.7,68.68,68.2075,"6,430.61","8,401.52","15,151.23",0,"1,072,500","74,002",,,,2.25,0,0.5797,TSE,,
0050 Yuanta Taiwan Top50,2015/2/13,69.35,69.65,69.35,69.45,"7,599","528,270",69.51,68.84,68.825,68.405,"7,129.01","8,735.07","15,065.34",0.6522,"1,072,500","74,485",,,,2.23,0.45,0.4348,TSE,,
0050 Yuanta Taiwan Top50,2015/2/24,69.95,70.45,69.95,70.25,"14,549","1,022,504",70.2767,69.19,69.035,68.605,"9,336.50","9,608.94","14,913.26",1.1519,"1,072,500","75,343",,,,2.21,0.8,0.7199,TSE,,
0050 Yuanta Taiwan Top50,2015/2/25,70.7,70.9,70.55,70.8,"23,253","1,644,414",70.7156,69.7,69.25,68.8075,"12,382.67","10,269.78","15,571.07",0.7829,"1,057,500","74,871",,,,2.19,0.55,0.4982,TSE,,
0050 Yuanta Taiwan Top50,2015/2/26,70.55,70.65,70.05,70.3,"8,688","610,954",70.3165,69.96,69.34,68.96,"12,680.51","9,102.88","15,127.70",-0.7062,"1,057,500","74,342",,,,2.2,-0.5,0.8475,TSE,,
0050 Yuanta Taiwan Top50,2015/3/2,70.3,70.55,69.75,70,"6,589","461,349",70.0141,70.16,69.43,69.08,"12,136.31","9,283.46","14,650.91",-0.4267,"1,057,500","74,025",,,,2.21,-0.3,1.138,TSE,,
0050 Yuanta Taiwan Top50,2015/3/3,70.05,70.1,69.5,69.9,"5,067","353,130",69.6794,70.25,69.545,69.14,"11,629.91","9,379.46","13,111.32",-0.1429,"1,057,500","73,919",,,,2.22,-0.1,0.8571,TSE,,
0050 Yuanta Taiwan Top50,2015/3/4,69.55,70.05,69.5,69.95,"6,414","448,582",69.9302,70.19,69.69,69.2025,"10,002.92","9,669.71","12,409.04",0.0715,"1,057,500","73,972",,,,2.22,0.05,0.7868,TSE,,
0050 Yuanta Taiwan Top50,2015/3/5,69.95,70,69.35,69.7,"3,761","261,883",69.615,69.97,69.835,69.23,"6,104.51","9,243.59","10,786.27",-0.3574,"1,050,500","73,219",,,,2.22,-0.25,0.9292,TSE,,
0050 Yuanta Taiwan Top50,2015/3/6,69.55,69.9,69.3,69.8,"3,067","213,689",69.667,69.87,69.915,69.2625,"4,980.24","8,830.38","9,139.95",0.1435,"1,037,000","72,382",,,,2.22,0.1,0.8608,TSE,,
0050 Yuanta Taiwan Top50,2015/3/9,69.45,69.5,68.9,69.1,"7,464","515,792",69.0948,69.69,69.925,69.3025,"5,155.37","8,645.84","8,523.68",-1.0029,"1,037,000","71,656",,,,2.24,-0.7,0.8596,TSE,,
0050 Yuanta Taiwan Top50,2015/3/10,69,69.05,68.6,68.95,"6,958","479,061",68.8467,69.5,69.875,69.35,"5,533.45","8,581.68","8,658.38",-0.2171,"1,037,000","71,501",,,,2.25,-0.15,0.6512,TSE,,
0050 Yuanta Taiwan Top50,2015/3/11,68.35,69.15,68.3,69.05,"10,039","689,232",68.6538,69.32,69.755,69.395,"6,258.36","8,130.64","8,869.79",0.145,"1,037,500","71,639",,,,2.24,0.1,1.2328,TSE,,
0050 Yuanta Taiwan Top50,2015/3/12,68.85,69.65,68.8,69.65,"5,710","396,200",69.3834,69.31,69.64,69.445,"6,648.05","6,376.28","8,323.03",0.8689,"1,037,500","72,261",,,,2.23,0.6,1.231,TSE,,
0050 Yuanta Taiwan Top50,2015/3/13,69.65,69.75,69.45,69.45,"4,527","315,257",69.629,69.24,69.555,69.4475,"6,940.12","5,960.18","7,531.53",-0.2872,"1,037,500","72,054",,,,2.23,-0.2,0.4307,TSE,,
